Code,Version Number,Description,Professional Recognition,Notes,Key search terms
C03064,2025.01,"<p>This is a research degree requiring an original and significant contribution to knowledge in the field of learning analytics.</p> <p>It provides an opportunity for graduates to acquire high-level research skills and substantially deepen their knowledge in this area.</p> <p>This course has been developed as a response to a global talent gap for people with data science knowledge, as identified and reported by the McKinsey Global Institute study (2011). The study predicted a shortfall by 2018 of nearly 200,000 data scientists and 1.5 million managers with the capability to make decisions using big data in the United States alone.</p> <p>The dramatic growth of data in every conceivable industry, from oceanography to market research, presents another major driving force in generating unprecedented global demand for data science skills.</p>",,,Analytics and Data Science
C42003,2025.01,,,,Business
C41003,2025.01,,,,Business
C50005,2025.01,,,<p>This course is not offered to international students.</p>,Business
C10412,2025.01,"<p>The Bachelor of Management Bachelor of Sustainability and Environment provides students with a strong foundation in management studies while developing key skills required to operate successfully in contemporary organisations. These attributes include collaborative teamwork, business design, innovation, and entrepreneurship, as well as the multidisciplinary knowledge base required to understand sustainability within the green economy. During the first two years, students explore management studies from professional and industry perspectives while building their knowledge of sustainability as a scientific, legal, social, and ethical domain. Across the remaining years of this degree, students develop in-depth knowledge in one of the management majors (Events, Sport Business, Digital Creative Enterprise, Strategic Innovation and Entrepreneurship, or Sustainability and Social Impact) while working with industry and community partners in studio subjects to address real-world sustainability issues.</p>",,<p>This is a new course from 2021. Students may use the 2020 selection rank for the Bachelor of Management as a guide. The lowest selection rank for Autumn 2020 intake for the respective majors are:</p> <p>80.40 (Digital Creative Enterprise); 81.15 (Events); 80.00 (Sport Business)</p>,Business
C11008,2025.01,"<p>The Graduate Certificate in Business Administration provides foundation skills used in the general management of a business enterprise for either non-graduates who have extensive business experience or those looking to gain more of a business understanding. The course encompasses the ethos of practice-based learning, social justice, inclusion, and research with real-world impact. In addition to the on-campus degree, UTS offers an <a href=""https://studyonline.uts.edu.au/online-courses/C11353"">online Graduate Certificate in Business Administration</a>.</p>",,,Business
C11300,2025.01,<p>The Graduate Certificate in Business Immersion and Career Transition introduces participants to workplace experiences through learning and applying a range of practical skills required by all employees.</p>,,,Business
C04259,2025.01,"<p>The Master of Management enables students to develop an enterprise-wide view of organisations embedded in a global society, integrating views from back-office/shop-floor to boardroom to town-hall meetings. Such a view is deemed essential to prizing the work, people, places and processes needed in a publicly scrutinized global business environment. Students gain the knowledge, skills and conceptual frameworks to enable them to identify, question, and through deliberative processes, respond effectively to these complex and demanding issues. Public expectations of post-graduate managers are high when it comes to being prepared to make, defend and be morally accountable for their judgements impacting on people, communities and ecosystems.</p>",,,Business
C04287,2025.01,"<p>The Master of Management enables students to develop an enterprise-wide view of organisations embedded in a global society, integrating views from back-office/shop-floor to boardroom to town-hall meetings. Such a view is deemed essential to prizing the work, people, places and processes needed in a publicly scrutinized global business environment. Gain the knowledge, skills and conceptual frameworks to enable you to identify, question and, through deliberative processes, respond effectively to the complex and demanding issues. Public expectations of post-graduate managers are necessarily high in being prepared to make, defend and be morally accountable for their judgements impacting on people, communities and ecosystems.</p>",,,Business
C11021,2025.01,"<p>The Graduate Certificate in Management introduces students to post-graduate studies toward an enterprise-wide view of organisations embedded in a global society, integrating views that range from back-office/shop-floor to boardroom to town-hall meetings. Such a view is deemed essential to prizing the work, people, places and processes needed in today&rsquo;s highly competitive and publicly scrutinized global business environment for an increasingly uncertain future.</p>",,<p>This course is not offered to international students.</p>,Business
C07029,2025.01,"<p>The <a href=""https://www.uts.edu.au/study/business/i-want-study/management/postgraduate-options/why-sport-management"">Graduate Diploma in Sport Management</a> provides a broad overview of the sport industry, and is designed to develop critical, interpretive and problem-solving skills relevant to that sector. With this in mind, the program includes subjects that develop a critical understanding of sport management across the areas of business, globalisation, governance, sport for social impact, and sport event management in both the Australian and international contexts.</p>",,,Business
C04290,2025.01,"<p>The <a href=""https://www.uts.edu.au/study/business/i-want-study/management/postgraduate-options/why-sport-management"">Master of Sport Management</a> provides advanced insights into the operation of the sport industry, both in Australia and internationally. The course is designed to develop professional skills and knowledge to equip students for collaborative and leadership positions in the fast growing, increasingly complex sport sector. With this in mind, the program includes subjects that develop a critical understanding of sport management across the areas of business, globalisation, governance, marketing, media, development, technology, innovation, and social impact. Importantly, the course is designed for students from diverse backgrounds and delivered using flexible learning methods, thus making it suitable for working professionals as well as domestic and international students.</p>",,,Business
C04369,2025.01,"<p>The <a href=""https://www.uts.edu.au/study/business/i-want-study/management/postgraduate-options/why-sport-management"">Master of Sport Management (Extension)</a> provides advanced insights into the operation of the sport industry, both in Australia and internationally. The course is designed to develop professional skills and knowledge to equip students for collaborative and leadership positions in the fast growing, increasingly complex sport sector. With this in mind, the program includes subjects that develop a critical understanding of sport management across the areas of business, globalisation, governance, marketing, media, development, technology, innovation, and social impact. Importantly, the course is designed for students from diverse backgrounds and delivered using flexible learning methods, making it suitable for working professionals as well as domestic and international students.</p>",,,Business
C10342,2025.01,"<p>The <a href=""https://www.uts.edu.au/future-students/business/business-courses/undergraduate-programs/bachelor-management"">Bachelor of Management</a> provides integrated insights into the functions of professional enterprises in the experience economy and related digital industries. The program involves a combination of both theory and practice-oriented education, with the option of workplace internships. Offshore partnerships with established UTS university partners allow students to engage with the UTS exchange program in the later stages of their degree. Partnerships with industry bodies allow students to engage with practical projects, field visits, in-class case studies, and internships, all of which assist with prospects for graduate employment.</p>",,,Business
C09153,,"<p>The Bachelor of Management Bachelor of International Studies (Honours) is an exit-point for students who have completed the International Honours pathway within the Bachelor of Management Bachelor of International Studies (<a href=""https://cis-admin.uts.edu.au/courses/c10343.html"">C10343</a>).</p> <p>In the fourth year of the combined degree, International Honours students spend an academic year studying in the local language at a university in the country of their major and also complete an honours level research project under the supervision of a relevant UTS academic.</p> <p>Entry to the International Honours pathway is dependent on students maintaining a credit average (or higher) in both their International Studies and professional degree in their first three years of study, and on the availability of placements in particular majors.</p>",,"<p>This is an exit-only course. There is no direct admission to it. Current UTS students may be able to submit an Internal Course Transfer (Graduating) application to exit with this course. See the <a href=""https://www.uts.edu.au/current-students/managing-your-course/your-enrolment/enrolment-changes/course-transfer"">Course transfer</a> page for further details.</p>",Business
