academic_item,applies_to_all_offerings,code,type
C03053,TRUE,076138J,CRICOS
C06124,TRUE,084267M,CRICOS
C11277,TRUE,098054J,CRICOS
C11354,TRUE,110894H,CRICOS
C10482,TRUE,Pending,CRICOS
C03024,TRUE,006407F,CRICOS
C04008,TRUE,019745C,CRICOS
C06017,TRUE,046112A,CRICOS
C07029,TRUE,014223C,CRICOS
C10004,TRUE,044179J,CRICOS
C10136,TRUE,040713B,CRICOS
C10223,TRUE,079561C,CRICOS
C03053,TRUE,076138J,CRICOS
C07122,TRUE,080597C,CRICOS
C04381,TRUE,107949B,CRICOS
C04385,TRUE,098387K,CRICOS
C11254,TRUE,088014M,CRICOS
C03048,TRUE,052679M,CRICOS
C04264,TRUE,080598B,CRICOS
C04379,TRUE,100411,CRICOS
C04385,TRUE,098387K,CRICOS
C06116,TRUE,088013A,CRICOS
C04296,TRUE,084254E,CRICOS
C10405,TRUE,102566B,CRICOS
C06126,TRUE,098505J,CRICOS
C11285,TRUE,098059D,CRICOS
C07122,TRUE,080597C,CRICOS
C04267,TRUE,080272B,CRICOS
C10228,TRUE,079735G,CRICOS
C04238,TRUE,061285K,CRICOS
C03048,TRUE,052679M,CRICOS
C11225,TRUE,071632B,CRICOS
C09057,TRUE,043289M,CRICOS
C04259,TRUE,077377G,CRICOS
C11298,TRUE,101146,CRICOS
C10412,TRUE,102819H,CRICOS
C10454,TRUE,106872D,CRICOS
C10300,TRUE,080087C,CRICOS
C03002,TRUE,008674D,CRICOS
C09018,TRUE,015936F,CRICOS
C04395,TRUE,098389G,CRICOS
C10451,TRUE,106870F,CRICOS
C03068,TRUE,100293,CRICOS
C09079,TRUE,080270D,CRICOS
C04431,TRUE,107869B,CRICOS
C04320,TRUE,092803C,CRICOS
C07021,TRUE,020210B,CRICOS
C11216,TRUE,071910G,CRICOS
C11247,TRUE,084252G,CRICOS
C06113,TRUE,084253F,CRICOS
C04296,TRUE,084254E,CRICOS
C04309,TRUE,088084G,CRICOS
C10404,TRUE,102565C,CRICOS
C03051,TRUE,075277F,CRICOS
C09081,TRUE,085890B,CRICOS
C04432,TRUE,106475F,CRICOS
C06110,TRUE,109001E,CRICOS
C10163,TRUE,040712C,CRICOS
C10129,TRUE,026195C,CRICOS
C04368,TRUE,096871C,CRICOS
C03064,TRUE,099357G,CRICOS
C09055,TRUE,071630D,CRICOS
C04295,TRUE,084256C,CRICOS
C20056,TRUE,084260G,CRICOS
C10223,TRUE,079561C,CRICOS
C04372,TRUE,084268K,CRICOS
C06126,TRUE,098505J,CRICOS
C03069,TRUE,109388C,CRICOS
C06147,TRUE,108844C,CRICOS
C03002,TRUE,008674D,CRICOS
C04008,TRUE,019745C,CRICOS
C06009,TRUE,001102G,CRICOS
C07012,TRUE,020411D,CRICOS
C09018,TRUE,015936F,CRICOS
C10124,TRUE,013614G,CRICOS
C10482,TRUE,Pending,CRICOS
C04309,TRUE,088084G,CRICOS
C04264,TRUE,080598B,CRICOS
C04380,TRUE,100398,CRICOS
C03062,TRUE,098382D,CRICOS
C04305,TRUE,088012B,CRICOS
C50008,TRUE,066310G,CRICOS
C07119,TRUE,071750G,CRICOS
C04267,TRUE,080272B,CRICOS
C03062,TRUE,098382D,CRICOS
C10377,TRUE,087781B,CRICOS
C04418,TRUE,107831E,CRICOS
C06127,TRUE,098053K,CRICOS
C11283,TRUE,098165B,CRICOS
C50006,TRUE,018126E,CRICOS
C04235,TRUE,061397B,CRICOS
C50008,TRUE,066310G,CRICOS
C07119,TRUE,071750G,CRICOS
C09057,TRUE,043289M,CRICOS
C10327,TRUE,079757B,CRICOS
C11237,TRUE,081086G,CRICOS
C10410,TRUE,102817K,CRICOS
C10451,TRUE,106870F,CRICOS
C03068,TRUE,100293,CRICOS
C03001,TRUE,008672F,CRICOS
C09004,TRUE,015933J,CRICOS
C10229,TRUE,057197M,CRICOS
C11206,TRUE,061284M,CRICOS
C11265,TRUE,095711E,CRICOS
C09129,TRUE,106662C,CRICOS
C03051,TRUE,075277F,CRICOS
C04428,TRUE,105155H,CRICOS
C04320,TRUE,092803C,CRICOS
C07018,TRUE,009678C,CRICOS
C04290,TRUE,084677D,CRICOS
C11216,TRUE,071910G,CRICOS
C11247,TRUE,084252G,CRICOS
C06113,TRUE,084253F,CRICOS
C04295,TRUE,084256C,CRICOS
C04309,TRUE,088084G,CRICOS
C03054,TRUE,076139G,CRICOS
C10300,TRUE,080087C,CRICOS
C07021,TRUE,020210B,CRICOS
C11239,TRUE,081085G,CRICOS
C11292,TRUE,098504K,CRICOS
C10271,TRUE,071631C,CRICOS
C06113,TRUE,084253F,CRICOS
C10345,TRUE,084259M,CRICOS
C04309,TRUE,088084G,CRICOS
C04255,TRUE,080952M,CRICOS
C10391,TRUE,092384F,CRICOS
C11275,TRUE,098384B,CRICOS
C06130,TRUE,098166A,CRICOS
C09166,TRUE,110752M,CRICOS
C10359,TRUE,088069G,CRICOS
C03002,TRUE,008674D,CRICOS
C03029,TRUE,030869J,CRICOS
C04007,TRUE,064794J,CRICOS
C06006,TRUE,066575D,CRICOS
C07004,TRUE,109002D,CRICOS
C09018,TRUE,015936F,CRICOS
C10004,TRUE,044179J,CRICOS
C11280,TRUE,100400,CRICOS
C03061,TRUE,098375C,CRICOS
C10376,TRUE,087780C,CRICOS
C11301,TRUE,101142,CRICOS
C04238,TRUE,061285K,CRICOS
C03050,TRUE,055629G,CRICOS
C07122,TRUE,080597C,CRICOS
C03061,TRUE,098375C,CRICOS
C10375,TRUE,087779G,CRICOS
C50009,TRUE,018126E,CRICOS
C50009,TRUE,018126E,CRICOS
C04296,TRUE,084254E,CRICOS
C11274,TRUE,084266A,CRICOS
C09075,TRUE,084096C,CRICOS
C04235,TRUE,061397B,CRICOS
C50008,TRUE,066310G,CRICOS
C03050,TRUE,055629G,CRICOS
C11230,TRUE,075570A,CRICOS
C10325,TRUE,079755D,CRICOS
C11300,TRUE,101001,CRICOS
C10460,TRUE,107050A,CRICOS
C06017,TRUE,046112A,CRICOS
C11264,TRUE,095712D,CRICOS
C10455,TRUE,106873C,CRICOS
C03051,TRUE,075277F,CRICOS
C09081,TRUE,085890B,CRICOS
C04424,TRUE,104623D,CRICOS
C09100,TRUE,092385E,CRICOS
C11239,TRUE,081085G,CRICOS
C10271,TRUE,071631C,CRICOS
C06113,TRUE,084253F,CRICOS
C04295,TRUE,084256C,CRICOS
C04297,TRUE,084255D,CRICOS
C03053,TRUE,076138J,CRICOS
C03068,TRUE,100293,CRICOS
C04429,TRUE,105154J,CRICOS
C11239,TRUE,081085G,CRICOS
C07140,TRUE,098415M,CRICOS
C11216,TRUE,071910G,CRICOS
C11247,TRUE,084252G,CRICOS
C04297,TRUE,084255D,CRICOS
C04309,TRUE,088084G,CRICOS
C03054,TRUE,076139G,CRICOS
C10391,TRUE,092384F,CRICOS
C04373,TRUE,088930G,CRICOS
C11277,TRUE,098054J,CRICOS
C10148,TRUE,040941A,CRICOS
C10472,TRUE,110750B,CRICOS
C09168,TRUE,110745K,CRICOS
C03001,TRUE,008672F,CRICOS
C03026,TRUE,032335A,CRICOS
C04007,TRUE,064794J,CRICOS
C04143,TRUE,001125A,CRICOS
C07002,TRUE,088876J,CRICOS
C07073,TRUE,016613F,CRICOS
C10004,TRUE,044179J,CRICOS
C11005,TRUE,088437K,CRICOS
C03001,TRUE,008672F,CRICOS
C03029,TRUE,030869J,CRICOS
C04007,TRUE,064794J,CRICOS
C04038,TRUE,036577F,CRICOS
C07012,TRUE,020411D,CRICOS
C10167,TRUE,043287B,CRICOS
C07113,TRUE,055276F,CRICOS
C11287,TRUE,098064G,CRICOS
C10462,TRUE,107051M,CRICOS
C09123,TRUE,100570,CRICOS
C10411,TRUE,102818J,CRICOS
C09150,TRUE,106913M,CRICOS
C04250,TRUE,074765J,CRICOS
C10320,TRUE,079556M,CRICOS
C10328,TRUE,079758A,CRICOS
C06108,TRUE,109000F,CRICOS
C04272,TRUE,081089D,CRICOS
C10388,TRUE,092382G,CRICOS
C11239,TRUE,081085G,CRICOS
C10380,TRUE,087786G,CRICOS
C50009,TRUE,018126E,CRICOS
C06137,TRUE,101143,CRICOS
C04392,TRUE,098060M,CRICOS
C09160,TRUE,106916H,CRICOS
C11298,TRUE,101146,CRICOS
C09137,TRUE,106935E,CRICOS
C11238,TRUE,081084J,CRICOS
C30020,TRUE,082433G,CRICOS
C10363,TRUE,087735G,CRICOS
C10367,TRUE,087765B,CRICOS
C03032,TRUE,028886D,CRICOS
C04285,TRUE,084673G,CRICOS
C10365,TRUE,087763D,CRICOS
C04317,TRUE,089508C,CRICOS
C11270,TRUE,096458E,CRICOS
C10479,TRUE,114585M,CRICOS
C10405,TRUE,102566B,CRICOS
C06124,TRUE,084267M,CRICOS
C04373,TRUE,088930G,CRICOS
C11277,TRUE,098054J,CRICOS
C11283,TRUE,098165B,CRICOS
C04264,TRUE,080598B,CRICOS
C03061,TRUE,098375C,CRICOS
C04385,TRUE,098387K,CRICOS
C04386,TRUE,098167M,CRICOS
C10380,TRUE,087786G,CRICOS
C03002,TRUE,008674D,CRICOS
C03026,TRUE,032335A,CRICOS
C04007,TRUE,064794J,CRICOS
C04143,TRUE,001125A,CRICOS
C06017,TRUE,046112A,CRICOS
C07012,TRUE,020411D,CRICOS
C10126,TRUE,009473E,CRICOS
C09131,TRUE,107049E,CRICOS
C06136,TRUE,101147,CRICOS
C11027,TRUE,020212M,CRICOS
C10228,TRUE,079735G,CRICOS
C04235,TRUE,061397B,CRICOS
C50008,TRUE,066310G,CRICOS
C03049,TRUE,052680G,CRICOS
C06100,TRUE,075569E,CRICOS
C11232,TRUE,077342G,CRICOS
C10328,TRUE,079758A,CRICOS
C06108,TRUE,109000F,CRICOS
C03024,TRUE,006407F,CRICOS
C03029,TRUE,030869J,CRICOS
C11287,TRUE,098064G,CRICOS
C10461,TRUE,107052K,CRICOS
C10447,TRUE,106141F,CRICOS
C04404,TRUE,101148,CRICOS
C09145,TRUE,106926F,CRICOS
C09149,TRUE,106912A,CRICOS
C07142,TRUE,107948C,CRICOS
C11225,TRUE,071632B,CRICOS
C11232,TRUE,077342G,CRICOS
C10328,TRUE,079758A,CRICOS
C06108,TRUE,109000F,CRICOS
C11236,TRUE,081083K,CRICOS
C10387,TRUE,092381J,CRICOS
C06110,TRUE,109001E,CRICOS
C50009,TRUE,018126E,CRICOS
C04392,TRUE,098060M,CRICOS
C11287,TRUE,098064G,CRICOS
C03063,TRUE,098418G,CRICOS
C04410,TRUE,102330M,CRICOS
C10449,TRUE,106139M,CRICOS
C04404,TRUE,101148,CRICOS
C04273,TRUE,081095F,CRICOS
C30019,TRUE,082432G,CRICOS
C10362,TRUE,087734J,CRICOS
C10366,TRUE,087764C,CRICOS
C09158,TRUE,111249G,CRICOS
C03032,TRUE,028886D,CRICOS
C30020,TRUE,082433G,CRICOS
C10364,TRUE,087736G,CRICOS
C10373,TRUE,087777J,CRICOS
C04317,TRUE,089508C,CRICOS
C04236,TRUE,060932C,CRICOS
C04372,TRUE,084268K,CRICOS
C04373,TRUE,088930G,CRICOS
C06127,TRUE,098053K,CRICOS
C10348,TRUE,086359B,CRICOS
C04264,TRUE,080598B,CRICOS
C04379,TRUE,100411,CRICOS
C04383,TRUE,098042B,CRICOS
C11254,TRUE,088014M,CRICOS
C03002,TRUE,008674D,CRICOS
C03026,TRUE,032335A,CRICOS
C04007,TRUE,064794J,CRICOS
C04143,TRUE,001125A,CRICOS
C06006,TRUE,066575D,CRICOS
C07012,TRUE,020411D,CRICOS
C09018,TRUE,015936F,CRICOS
C10004,TRUE,044179J,CRICOS
C11298,TRUE,101146,CRICOS
C04389,TRUE,098055G,CRICOS
C11008,TRUE,018156K,CRICOS
C50006,TRUE,018126E,CRICOS
C04235,TRUE,061397B,CRICOS
C11211,TRUE,064381G,CRICOS
C03049,TRUE,052680G,CRICOS
C04252,TRUE,074915M,CRICOS
C11232,TRUE,077342G,CRICOS
C10321,TRUE,079751G,CRICOS
C06108,TRUE,109000F,CRICOS
C06006,TRUE,066575D,CRICOS
C11142,TRUE,084251G,CRICOS
C04393,TRUE,098062J,CRICOS
C03063,TRUE,098418G,CRICOS
C04404,TRUE,101148,CRICOS
C09143,TRUE,106924H,CRICOS
C09152,TRUE,106905M,CRICOS
C10309,TRUE,077341J,CRICOS
C10325,TRUE,079755D,CRICOS
C04271,TRUE,081087F,CRICOS
C11236,TRUE,081083K,CRICOS
C04320,TRUE,092803C,CRICOS
C11015,TRUE,022411K,CRICOS
C04305,TRUE,088012B,CRICOS
C03063,TRUE,098418G,CRICOS
C10242,TRUE,040705B,CRICOS
C09132,TRUE,106929C,CRICOS
C30019,TRUE,082432G,CRICOS
C04287,TRUE,084675F,CRICOS
C10365,TRUE,087763D,CRICOS
C10066,TRUE,033909D,CRICOS
C03029,TRUE,030869J,CRICOS
C07119,TRUE,071750G,CRICOS
C10305,TRUE,077333J,CRICOS
C10362,TRUE,087734J,CRICOS
C04316,TRUE,089509B,CRICOS
C04236,TRUE,060932C,CRICOS
C10471,TRUE,110749F,CRICOS
C10391,TRUE,092384F,CRICOS
C11274,TRUE,084266A,CRICOS
C06126,TRUE,098505J,CRICOS
C06115,TRUE,084262E,CRICOS
C10395,TRUE,100483,CRICOS
C11280,TRUE,100400,CRICOS
C03062,TRUE,098382D,CRICOS
C06116,TRUE,088013A,CRICOS
C10474,TRUE,110746J,CRICOS
C03001,TRUE,008672F,CRICOS
C03024,TRUE,006407F,CRICOS
C03032,TRUE,028886D,CRICOS
C04008,TRUE,019745C,CRICOS
C06006,TRUE,066575D,CRICOS
C07004,TRUE,109002D,CRICOS
C07073,TRUE,016613F,CRICOS
C10449,TRUE,106139M,CRICOS
C11008,TRUE,018156K,CRICOS
C50006,TRUE,018126E,CRICOS
C04235,TRUE,061397B,CRICOS
C11211,TRUE,064381G,CRICOS
C03048,TRUE,052679M,CRICOS
C04241,TRUE,071909M,CRICOS
C10304,TRUE,077331M,CRICOS
C04260,TRUE,077380B,CRICOS
C04270,TRUE,080271C,CRICOS
C04007,TRUE,064794J,CRICOS
C06006,TRUE,066575D,CRICOS
C06033,TRUE,087648G,CRICOS
C10125,TRUE,008756B,CRICOS
C11142,TRUE,084251G,CRICOS
C10215,TRUE,047836A,CRICOS
C50006,TRUE,018126E,CRICOS
C10226,TRUE,063721A,CRICOS
C03063,TRUE,098418G,CRICOS
C06136,TRUE,101147,CRICOS
C10412,TRUE,102819H,CRICOS
C09151,TRUE,106903B,CRICOS
C10308,TRUE,077339C,CRICOS
C10324,TRUE,079754E,CRICOS
C04270,TRUE,080271C,CRICOS
C06108,TRUE,109000F,CRICOS
C11237,TRUE,081086G,CRICOS
C09119,TRUE,092896D,CRICOS
C04277,TRUE,081094G,CRICOS
C11254,TRUE,088014M,CRICOS
C50009,TRUE,018126E,CRICOS
C11346,TRUE,107469G,CRICOS
C09132,TRUE,106929C,CRICOS
C04275,TRUE,081088E,CRICOS
C04285,TRUE,084673G,CRICOS
C10364,TRUE,087736G,CRICOS
C04008,TRUE,019745C,CRICOS
C04273,TRUE,081095F,CRICOS
C09070,TRUE,084091G,CRICOS
C10278,TRUE,100484,CRICOS
C10477,TRUE,113304M,CRICOS
C10131,TRUE,025797G,CRICOS
C04418,TRUE,107831E,CRICOS
C06124,TRUE,084267M,CRICOS
C11275,TRUE,098384B,CRICOS
C04301,TRUE,084264C,CRICOS
C11283,TRUE,098165B,CRICOS
C11280,TRUE,100400,CRICOS
C03062,TRUE,098382D,CRICOS
C04305,TRUE,088012B,CRICOS
C09158,TRUE,111249G,CRICOS
C04018,TRUE,025004A,CRICOS
C03024,TRUE,006407F,CRICOS
C03032,TRUE,028886D,CRICOS
C04008,TRUE,019745C,CRICOS
C06006,TRUE,066575D,CRICOS
C07004,TRUE,109002D,CRICOS
C07073,TRUE,016613F,CRICOS
C04440,TRUE,106031A,CRICOS
C09140,TRUE,106938B,CRICOS
C11142,TRUE,084251G,CRICOS
C07113,TRUE,055276F,CRICOS
C04237,TRUE,061286J,CRICOS
C50008,TRUE,066310G,CRICOS
C03050,TRUE,055629G,CRICOS
C09057,TRUE,043289M,CRICOS
C04270,TRUE,080271C,CRICOS
C11236,TRUE,081083K,CRICOS
C04235,TRUE,061397B,CRICOS
C11211,TRUE,064381G,CRICOS
C11230,TRUE,075570A,CRICOS
C10308,TRUE,077339C,CRICOS
C04259,TRUE,077377G,CRICOS
C10327,TRUE,079757B,CRICOS
C04270,TRUE,080271C,CRICOS
C04395,TRUE,098389G,CRICOS
C04429,TRUE,105154J,CRICOS
C04288,TRUE,084676E,CRICOS
C10131,TRUE,025797G,CRICOS
C04222,TRUE,096325G,CRICOS
C06123,TRUE,096326F,CRICOS
C11216,TRUE,071910G,CRICOS
C20056,TRUE,084260G,CRICOS
C10223,TRUE,079561C,CRICOS
C04419,TRUE,107830F,CRICOS
C11274,TRUE,084266A,CRICOS
C10478,TRUE,113313K,CRICOS
C04370,TRUE,109317G,CRICOS
C04325,TRUE,082831D,CRICOS
C11264,TRUE,095712D,CRICOS
C03056,TRUE,086292E,CRICOS
C04428,TRUE,105155H,CRICOS
C04430,TRUE,107870J,CRICOS
C04320,TRUE,092803C,CRICOS
C11275,TRUE,098384B,CRICOS
C04379,TRUE,100411,CRICOS
C03062,TRUE,098382D,CRICOS
C04038,TRUE,036577F,CRICOS
C06017,TRUE,046112A,CRICOS
C07073,TRUE,016613F,CRICOS
C10124,TRUE,013614G,CRICOS
C11008,TRUE,018156K,CRICOS
C10226,TRUE,063721A,CRICOS
C04235,TRUE,061397B,CRICOS
C11211,TRUE,064381G,CRICOS
C03048,TRUE,052679M,CRICOS
C07119,TRUE,071750G,CRICOS
C04234,TRUE,096324G,CRICOS
C04371,TRUE,096873A,CRICOS
C09055,TRUE,071630D,CRICOS
C06113,TRUE,084253F,CRICOS
C11277,TRUE,098054J,CRICOS
C06130,TRUE,098166A,CRICOS
C04381,TRUE,107949B,CRICOS
C10184,TRUE,023607A,CRICOS
C50007,TRUE,012083D,CRICOS
C11199,TRUE,055277E,CRICOS
C04238,TRUE,061285K,CRICOS
C50008,TRUE,066310G,CRICOS
C03049,TRUE,052680G,CRICOS
C07119,TRUE,071750G,CRICOS
C11301,TRUE,101142,CRICOS
C04394,TRUE,098414A,CRICOS
C04411,TRUE,102331K,CRICOS
C04440,TRUE,106031A,CRICOS
C11300,TRUE,101001,CRICOS
C09134,TRUE,106930K,CRICOS
C09143,TRUE,106924H,CRICOS
C07135,TRUE,098048G,CRICOS
C11265,TRUE,095711E,CRICOS
C10322,TRUE,079752G,CRICOS
C09148,TRUE,106922K,CRICOS
C04395,TRUE,098389G,CRICOS
C11264,TRUE,095712D,CRICOS
C10456,TRUE,106874B,CRICOS
C10172,TRUE,026806C,CRICOS
C11237,TRUE,081086G,CRICOS
C04274,TRUE,081096E,CRICOS
C04235,TRUE,061397B,CRICOS
C11211,TRUE,064381G,CRICOS
C04250,TRUE,074765J,CRICOS
C10322,TRUE,079752G,CRICOS
C04270,TRUE,080271C,CRICOS
C06108,TRUE,109000F,CRICOS
C04272,TRUE,081089D,CRICOS
C04274,TRUE,081096E,CRICOS
C04429,TRUE,105154J,CRICOS
C11239,TRUE,081085G,CRICOS
C10148,TRUE,040941A,CRICOS
C06123,TRUE,096326F,CRICOS
C11216,TRUE,071910G,CRICOS
C04297,TRUE,084255D,CRICOS
C04309,TRUE,088084G,CRICOS
C04255,TRUE,080952M,CRICOS
C06124,TRUE,084267M,CRICOS
C10163,TRUE,040712C,CRICOS
C10131,TRUE,025797G,CRICOS
C04443,TRUE,108843D,CRICOS
C09151,TRUE,106903B,CRICOS
C10455,TRUE,106873C,CRICOS
C04433,TRUE,106476E,CRICOS
C11275,TRUE,098384B,CRICOS
C04379,TRUE,100411,CRICOS
C03061,TRUE,098375C,CRICOS
C04383,TRUE,098042B,CRICOS
C04008,TRUE,019745C,CRICOS
C06006,TRUE,066575D,CRICOS
C07073,TRUE,016613F,CRICOS
C10004,TRUE,044179J,CRICOS
C11005,TRUE,088437K,CRICOS
C50006,TRUE,018126E,CRICOS
C04235,TRUE,061397B,CRICOS
C04238,TRUE,061285K,CRICOS
C50008,TRUE,066310G,CRICOS
C03050,TRUE,055629G,CRICOS
C04368,TRUE,096871C,CRICOS
C06113,TRUE,084253F,CRICOS
C11277,TRUE,098054J,CRICOS
C11249,TRUE,084261F,CRICOS
C10169,TRUE,041436K,CRICOS
C50006,TRUE,018126E,CRICOS
C10229,TRUE,057197M,CRICOS
C11206,TRUE,061284M,CRICOS
C50008,TRUE,066310G,CRICOS
C03048,TRUE,052679M,CRICOS
C04241,TRUE,071909M,CRICOS
C11230,TRUE,075570A,CRICOS
C10342,TRUE,084784A,CRICOS
C11287,TRUE,098064G,CRICOS
C04410,TRUE,102330M,CRICOS
C07147,TRUE,107468H,CRICOS
C11298,TRUE,101146,CRICOS
C10245,TRUE,064382G,CRICOS
C09140,TRUE,106938B,CRICOS
C07142,TRUE,107948C,CRICOS
C04325,TRUE,082831D,CRICOS
C10310,TRUE,079553C,CRICOS
C09145,TRUE,106926F,CRICOS
C09152,TRUE,106905M,CRICOS
C04324,TRUE,084678C,CRICOS
C10452,TRUE,106871E,CRICOS
C03068,TRUE,100293,CRICOS
C04272,TRUE,081089D,CRICOS
C04273,TRUE,081095F,CRICOS
C03048,TRUE,052679M,CRICOS
C04275,TRUE,081088E,CRICOS
C03068,TRUE,100293,CRICOS
C09079,TRUE,080270D,CRICOS
C10387,TRUE,092381J,CRICOS
C07019,TRUE,032341C,CRICOS
C06110,TRUE,109001E,CRICOS
C09168,TRUE,110745K,CRICOS
C04222,TRUE,096325G,CRICOS
C11216,TRUE,071910G,CRICOS
C04297,TRUE,084255D,CRICOS
C04309,TRUE,088084G,CRICOS
C03054,TRUE,076139G,CRICOS
C04372,TRUE,084268K,CRICOS
C11275,TRUE,098384B,CRICOS
C04290,TRUE,084677D,CRICOS
C03012,TRUE,030867M,CRICOS
C10066,TRUE,033909D,CRICOS
C10359,TRUE,088069G,CRICOS
C09153,TRUE,106919E,CRICOS
C10457,TRUE,106661D,CRICOS
C11326,TRUE,092412G,CRICOS
C04320,TRUE,092803C,CRICOS
C04372,TRUE,084268K,CRICOS
C04381,TRUE,107949B,CRICOS
C04008,TRUE,019745C,CRICOS
C06006,TRUE,066575D,CRICOS
C07012,TRUE,020411D,CRICOS
C09018,TRUE,015936F,CRICOS
C10169,TRUE,041436K,CRICOS
C10219,TRUE,047835B,CRICOS
C11199,TRUE,055277E,CRICOS
C11206,TRUE,061284M,CRICOS
C50008,TRUE,066310G,CRICOS
C03049,TRUE,052680G,CRICOS
C06123,TRUE,096326F,CRICOS
C11247,TRUE,084252G,CRICOS
C04306,TRUE,091975B,CRICOS
C06127,TRUE,098053K,CRICOS
C06115,TRUE,084262E,CRICOS
C04388,TRUE,098056G,CRICOS
C10136,TRUE,040713B,CRICOS
C10214,TRUE,044183B,CRICOS
C10226,TRUE,063721A,CRICOS
C04237,TRUE,061286J,CRICOS
C50008,TRUE,066310G,CRICOS
C03048,TRUE,052679M,CRICOS
C03050,TRUE,055629G,CRICOS
C04252,TRUE,074915M,CRICOS
C10306,TRUE,077334G,CRICOS
C50009,TRUE,018126E,CRICOS
C04391,TRUE,098061K,CRICOS
C10466,TRUE,110893J,CRICOS
C09130,TRUE,107053J,CRICOS
C09123,TRUE,100570,CRICOS
C04420,TRUE,102950E,CRICOS
C09139,TRUE,106937C,CRICOS
C09162,TRUE,106917G,CRICOS
C11210,TRUE,065345D,CRICOS
C09142,TRUE,106901D,CRICOS
C09152,TRUE,106905M,CRICOS
C11210,TRUE,065345D,CRICOS
C11265,TRUE,095711E,CRICOS
C10460,TRUE,107050A,CRICOS
C04277,TRUE,081094G,CRICOS
C04272,TRUE,081089D,CRICOS
C11237,TRUE,081086G,CRICOS
C11211,TRUE,064381G,CRICOS
C03055,TRUE,032336M,CRICOS
C04395,TRUE,098389G,CRICOS
C10303,TRUE,080085E,CRICOS
C04429,TRUE,105154J,CRICOS
C10386,TRUE,092380K,CRICOS
C06110,TRUE,109001E,CRICOS
C04370,TRUE,109317G,CRICOS
C04222,TRUE,096325G,CRICOS
C07140,TRUE,098415M,CRICOS
C06113,TRUE,084253F,CRICOS
C20056,TRUE,084260G,CRICOS
C03053,TRUE,076138J,CRICOS
C10391,TRUE,092384F,CRICOS
C11274,TRUE,084266A,CRICOS
C09074,TRUE,084095D,CRICOS
C11354,TRUE,110894H,CRICOS
C09146,TRUE,106927E,CRICOS
C04325,TRUE,082831D,CRICOS
C11264,TRUE,095712D,CRICOS
C03056,TRUE,086292E,CRICOS
C04320,TRUE,092803C,CRICOS
C04372,TRUE,084268K,CRICOS
C04380,TRUE,100398,CRICOS
C04038,TRUE,036577F,CRICOS
C07002,TRUE,088876J,CRICOS
C09004,TRUE,015933J,CRICOS
C10136,TRUE,040713B,CRICOS
C11142,TRUE,084251G,CRICOS
C10228,TRUE,079735G,CRICOS
C11206,TRUE,061284M,CRICOS
C11211,TRUE,064381G,CRICOS
C03049,TRUE,052680G,CRICOS
C11225,TRUE,071632B,CRICOS
C06123,TRUE,096326F,CRICOS
C11292,TRUE,098504K,CRICOS
C11247,TRUE,084252G,CRICOS
C04295,TRUE,084256C,CRICOS
C04301,TRUE,084264C,CRICOS
C11283,TRUE,098165B,CRICOS
C10124,TRUE,013614G,CRICOS
C11142,TRUE,084251G,CRICOS
C50007,TRUE,012083D,CRICOS
C10239,TRUE,059726G,CRICOS
C11211,TRUE,064381G,CRICOS
C50008,TRUE,066310G,CRICOS
C03050,TRUE,055629G,CRICOS
C07119,TRUE,071750G,CRICOS
